Adair,7682
Adams,4029
Allamakee,14330
Appanoose,12884
Audubon,6119
Benton,26076
Black Hawk,131090
Boone,26306
Bremer,24276
Buchanan,20958
Buena Vista,20260
Butler,14867
Calhoun,9670
Carroll,20816
Cass,13956
Cedar,18499
Cerro Gordo,44151
Cherokee,12072
Chickasaw,12439
Clarke,9286
Clay,16667
Clayton,18129
Clinton,49116
Crawford,17096
Dallas,66135
Davis,8753
Decatur,8457
Delaware,17764
Des Moines,40325
Dickinson,16667
Dubuque,93653
Emmet,10302
Fayette,20880
Floyd,16303
Franklin,10680
Fremont,7441
Greene,9336
Grundy,12453
Guthrie,10954
Hamilton,15673
Hancock,11341
Hardin,17534
Harrison,14928
Henry,20145
Howard,9566
Humboldt,9815
Ida,7089
Iowa,16355
Jackson,19848
Jasper,36842
Jefferson,16843
Johnson,130882
Jones,20638
Keokuk,10511
Kossuth,15543
Lee,35862
Linn,211226
Louisa,11387
Lucas,8898
Lyon,11581
Madison,15679
Mahaska,22381
Marion,33309
Marshall,40648
Mills,15059
Mitchell,10776
Monona,9243
Monroe,7970
Montgomery,10740
Muscatine,42745
O'Brien,14398
Osceola,6462
Page,15932
Palo Alto,9421
Plymouth,24986
Pocahontas,7310
Polk,430640
Pottawattamie,93158
Poweshiek,18914
Ringgold,5131
Sac,10350
Scott,165224
Shelby,12167
Sioux,33704
Story,89542
Tama,17767
Taylor,6317
Union,12534
Van Buren,7570
Wapello,35625
Warren,46225
Washington,21704
Wayne,6403
Webster,38013
Winnebago,10866
Winneshiek,21056
Woodbury,102172
Worth,7598
Wright,13229
